timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acc_x,acc_y,acc_z,thrust0,thrust1,thrust2,basestation,flight_number
58189888,-0.76359075,0.6198755,0.58344233,-1.5724239,0.0,0.0,0.0,0.04192,0.0,0.0,-0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65701861,-0.82270896,0.74898016,0.86484486,-1.572419,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65800835,-0.822854,0.7491647,-14.134538,-1.572272,0.0,0.00042244792,-0.0016186237,0.2007538,-0.034585714,-0.036227703,-5.35968,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65904822,-0.822854,0.7491647,-14.134538,-1.572272,0.0,0.00086688995,-0.0031781495,-0.18884495,-0.021572597,-0.06035925,-6.1626782,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
66005431,-0.822854,0.7491647,-14.134538,-1.572272,0.0,0.0004825294,-0.005180955,-0.5658175,-0.11474627,-0.038291745,-6.751624,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
66109206,-0.822854,0.7491647,-14.134538,-1.572272,0.0,-0.0045127273,-0.00752154,-0.95523614,-0.10906012,-0.0411427,-7.021752,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
66213360,-0.822854,0.7491647,-14.134538,-1.572272,0.0,-0.013238937,-0.009711206,-1.34542,-0.15329197,-0.051306155,-7.2530293,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
66312735,-0.822854,0.7491647,-14.134538,-1.572272,0.0,-0.024230987,-0.012553275,-1.5,-0.1862782,-0.0240518,-7.0317516,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
66416813,-0.822854,0.7491647,-14.134538,-1.572272,0.0,-0.037550032,-0.014737755,-1.5,-0.21734574,-0.06951881,-6.705471,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
66519296,-0.822854,0.7491647,-14.134538,-1.572272,0.0,-0.050098658,-0.01686868,-1.5,-0.2320507,0.0049386597,-6.565643,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
66623173,-0.822854,0.7491647,-14.134538,-1.572272,0.0,-0.0630033,-0.017252862,-1.5,-0.23519024,-0.048290025,-6.4516687,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
66722355,-0.822854,0.7491647,-14.134538,-1.572272,0.0,-0.075155586,-0.01777634,-1.5,-0.2766573,-0.041570567,-6.404298,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
66826356,-0.822854,0.7491647,-14.134538,-1.572272,0.0,-0.08845639,-0.01927346,-1.5,-0.25987294,-0.07505869,-6.300094,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
66927054,-0.822854,0.7491647,-14.134538,-1.572272,0.0,-0.09859559,-0.022245973,-1.5,-0.25661182,-0.07888338,-6.2794175,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
67026421,-0.822854,0.7491647,-14.134538,-1.572272,0.0,-0.10806584,-0.02661243,-1.5,-0.34157652,-0.08024828,-6.2629027,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
67130455,-0.822854,0.7491647,-14.134538,-1.572272,0.0,-0.11761522,-0.031270802,-1.5,-0.26755887,-0.115741216,-6.2660933,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
67231499,-0.822854,0.7491647,-14.134538,-1.572272,0.0,-0.12474695,-0.035734087,-1.5,-0.30640602,-0.078469664,-6.2259197,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
67330414,-0.822854,0.7491647,-14.134538,-1.572272,0.0,-0.13242969,-0.0398165,-1.5,-0.3083486,-0.07939601,-6.196974,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
67434293,-0.822854,0.7491647,-14.134538,-1.572272,0.0,-0.1395632,-0.04202217,-1.5,-0.313644,-0.059532013,-6.1786366,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
67536532,-0.822854,0.7491647,-14.134538,-1.572272,0.0,-0.14440799,-0.042233795,-1.5,-0.28123158,-0.059748888,-6.181292,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
67636109,-0.822854,0.7491647,-14.134538,-1.572272,0.0,-0.14704451,-0.041042805,-1.5,-0.26976624,-0.029248277,-6.189041,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
67736322,-0.822854,0.7491647,-14.134538,-1.572272,0.0,-0.14693749,-0.03898886,-1.5,-0.23942295,-0.027958276,-6.180001,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
67841136,-0.822854,0.7491647,-14.134538,-1.572272,0.0,-0.1434525,-0.03608179,-1.5,-0.1937887,-0.032137927,-6.1929603,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
67939896,-0.822854,0.7491647,-14.134538,-1.572272,0.0,-0.13673365,-0.032842934,-1.5,-0.18039015,-0.025576398,-6.191769,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
68043928,-0.822854,0.7491647,-14.134538,-1.572272,0.0,-0.12734431,-0.028916985,-1.5,-0.1281797,-0.028136637,-6.195661,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
68144961,-0.822854,0.7491647,-14.134538,-1.572272,0.0,-0.11641261,-0.0246993,-1.5,-0.11239496,-0.01996045,-6.19819,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
68243993,-0.822854,0.7491647,-14.134538,-1.572272,0.0,-0.10491729,-0.020020008,-1.5,-0.100235105,-0.014433572,-6.181853,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
68347879,-0.822854,0.7491647,-14.134538,-1.572272,0.0,-0.09280524,-0.014835298,-1.5,-0.0916272,-0.011981579,-6.189582,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
68448585,-0.822854,0.7491647,-14.134538,-1.572272,0.0,-0.081644565,-0.01020661,-1.5,-0.07656262,-0.005475583,-6.187356,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
68549735,-0.822854,0.7491647,-14.134538,-1.572272,0.0,-0.07091537,-0.0056325495,-1.5,-0.07862201,0.0050500697,-6.186463,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
68650205,-0.822854,0.7491647,-14.134538,-1.572272,0.0,-0.06114444,-0.0006842315,-1.5,-0.06255523,-0.0036709083,-6.198736,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
68754239,-0.822854,0.7491647,-14.134538,-1.572272,0.0,-0.052324623,0.00445953,-1.5,-0.09066724,0.015092901,-6.207463,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
68853535,-0.822854,0.7491647,-14.134538,-1.572272,0.0,-0.04544127,0.010277599,-1.5,-0.09327379,0.029357316,-6.2049956,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
68957529,-0.822854,0.7491647,-14.134538,-1.572272,0.0,-0.039291322,0.016756207,-1.5,-0.091054596,0.023106178,-6.2109137,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
69058288,-0.822854,0.7491647,-14.134538,-1.572272,0.0,-0.03526488,0.022852242,-1.5,-0.1110861,0.036231857,-6.2040734,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
69157562,-0.822854,0.7491647,-14.134538,-1.572272,0.0,-0.03212759,0.028063416,-1.5,-0.10560575,0.047699984,-6.20057,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
69261571,-0.822854,0.7491647,-14.134538,-1.572272,0.0,-0.029417127,0.032781422,-1.5,-0.09445481,0.03897487,-6.207974,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
69362312,-0.822854,0.7491647,-14.134538,-1.572272,0.0,-0.027970076,0.03681636,-1.5,-0.108090974,0.050918207,-6.210565,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
69461512,-0.822854,0.7491647,-14.134538,-1.572272,0.0,-0.02647698,0.039408624,-1.5,-0.09810278,0.04011193,-6.2162747,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
69563955,-0.822854,0.7491647,-14.134538,-1.572272,0.0,-0.025307804,0.04159355,-1.5,-0.08012537,0.04422901,-6.218248,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
