timestamp,load,ram_usage,basestation,flight_number
58698596,0.570364,0.81313986,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
59702207,0.641064,0.854363,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60703868,0.605467,0.854363,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61705024,0.606545,0.854363,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62705827,0.604066,0.854363,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
63706518,0.603784,0.854363,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
64708834,0.598975,0.854363,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65710193,0.606845,0.854363,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
66711761,0.655085,0.85619366,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
67713161,0.659425,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
68714548,0.655855,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
69717116,0.656521,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
70718440,0.664419,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
71720209,0.656422,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
72721917,0.65466,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
73723464,0.662926,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
74725501,0.666843,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
75727508,0.652951,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76728878,0.684076,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
77730344,0.717185,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
78731460,0.712661,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
79732967,0.713501,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
80734464,0.71019,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
81735988,0.717543,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
82737906,0.716157,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
83739439,0.710777,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
84740692,0.710414,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
85741848,0.717571,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
86748312,0.715707,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
