timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values0,values1,values2,values3,values4,values5,values6,values7,values8,values9,values10,values11,values12,values13,values14,values15,values16,values17,rc_failsafe,rc_lost,input_source,basestation,flight_number
59508487,59508487,18,255,0,0,0,1494,1500,982,1493,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1977,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
59624296,59624296,18,255,0,0,0,1494,1500,982,1493,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1977,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
59716313,59716313,18,255,0,0,0,1494,1500,982,1493,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1977,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
59824328,59824328,18,255,0,0,0,1494,1500,982,1493,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1977,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
59928683,59928683,18,255,0,0,0,1494,1500,982,1493,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,2005,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60020296,60020296,18,255,0,0,0,1494,1500,982,1493,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,2005,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60122141,60122141,18,255,0,0,0,1494,1500,982,1493,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,2005,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60230131,60230131,18,255,0,0,0,1494,1500,982,1493,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,2005,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60333917,60333917,18,255,0,0,0,1494,1500,982,1493,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,2005,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60426113,60426113,18,255,0,0,0,1494,1500,982,1493,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,2005,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60533890,60533890,18,255,0,0,0,1494,1500,982,1493,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,2005,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60641907,60641907,18,255,0,0,0,1494,1500,982,1493,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,2005,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60737816,60737816,18,255,0,0,0,1494,1500,982,1493,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,2005,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60849917,60849917,18,255,0,0,0,1494,1500,982,1493,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,2005,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
