timestamp,roll,pitch,yaw,thrust,basestation,flight_number
59527024,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
59627000,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
59731092,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
59834933,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
59934967,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60038997,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60136540,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60240600,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60340741,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60444846,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60548617,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60648564,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60752564,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60852607,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60952569,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61056584,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61158175,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61258200,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61358226,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61462196,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61562161,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61666138,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61766161,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61866191,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61970196,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62070252,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62171789,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62271807,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62375809,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62475781,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62579745,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62679770,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62779836,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62883784,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62983768,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
63083765,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
63188603,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
63288609,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
63388563,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
63492586,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
63592605,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
63696578,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
63800654,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
63900568,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
64000563,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
64104661,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
64204731,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
64308618,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
64408589,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
64510145,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
64610155,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
64714177,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
64814158,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
64918213,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65018203,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65118188,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65222226,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65322184,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65422190,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65523765,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65627778,,,,0.12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65727764,0.03500356,-0.061710484,-5.190605e-05,0.50685704,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65827791,0.07047601,-0.050139934,0.0018617167,0.57309955,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65931765,0.04466116,-0.024445081,0.0013932914,0.6510105,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
66031774,-0.012497068,-0.036709543,0.009853599,0.69699514,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
66135862,-0.00037857663,-0.00917743,0.023159448,0.721814,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
66235772,-0.00417539,0.029459652,0.035725698,0.7448321,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
66335778,-0.014586348,0.045874033,0.047036365,0.7084612,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
66439791,-0.0050273538,0.018177046,0.057611227,0.6808596,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
66541387,0.017292758,0.03769951,0.07072474,0.6651293,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
66645377,0.02819847,0.040512167,0.08173346,0.6596889,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
66745378,-0.013378003,0.02019264,0.086469255,0.64906025,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
66849414,-0.025507571,-0.03326674,0.087237805,0.64297765,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
66949429,0.0065686596,-0.0657023,0.082462244,0.64335227,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
67049548,-0.038704082,-0.047675487,0.076112695,0.6413824,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
67153419,-0.04305899,-0.039215416,0.07082282,0.6374422,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
67253405,-0.039100986,0.02902004,0.06744979,0.63351387,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
67357379,-0.024149843,0.061490472,0.06326155,0.63131595,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
67462210,-3.8520597e-05,0.07913329,0.06271766,0.6316917,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
67563008,0.04044125,0.061757572,0.062916555,0.6308947,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
67663196,0.07453907,0.042489935,0.06308252,0.63131654,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
67766981,0.08352232,0.032485217,0.06270105,0.6305171,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
67870980,0.10629339,0.021066975,0.06167928,0.630685,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
67971047,0.102636404,0.02718229,0.06071865,0.631454,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
68075055,0.11084991,0.009254064,0.062172383,0.6307289,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
68175044,0.09678762,0.02248449,0.063188195,0.6312795,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
68274967,0.091525756,0.027819216,0.064328104,0.63109815,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
68378970,0.079094,0.018464832,0.06507283,0.63062644,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
68480574,0.069473326,0.019444652,0.06651446,0.6315814,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
68584657,0.07518946,0.017508075,0.06739843,0.6314624,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
68684573,0.052083794,0.03497819,0.06716699,0.6318637,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
68788608,0.05898878,0.048448056,0.06716232,0.63156664,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
68888583,0.061653066,0.049510837,0.06633732,0.6322547,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
68988800,0.057723902,0.05205608,0.06656342,0.63149095,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
69092628,0.059987552,0.05191345,0.06664275,0.63079184,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
69192598,0.061236747,0.03954745,0.06596949,0.6307064,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
69292652,0.07433843,0.040073086,0.06517461,0.6316681,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
69396582,0.077489085,0.05309295,0.06244755,0.6320496,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
69498173,0.08828462,0.046791732,0.06022565,0.6321603,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
69602214,0.07085137,0.049687073,0.058253303,0.6336869,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
69702183,0.086428694,0.043660022,0.05613609,0.6332336,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
69806177,0.10546606,0.039644916,0.05257052,0.6350736,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
69906451,0.10654105,0.027862612,0.04945223,0.63421196,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
70010216,0.11668134,0.0141579965,0.047748204,0.6333855,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
70114243,0.10952393,-0.0017311921,0.0453283,0.6331546,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
70214200,0.12983996,0.0051150518,0.042769648,0.63458174,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
70318150,0.13358304,-0.00091663067,0.04102632,0.6370912,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
70418163,0.13443589,0.0059302966,0.038871218,0.638263,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
70519762,0.14510737,0.012246848,0.038371824,0.63894457,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
70619774,0.15200172,0.011045414,0.035955776,0.638327,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
70723740,0.12772264,0.020951184,0.035967477,0.6384814,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
70827783,0.12169698,0.022265963,0.036892455,0.63818574,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
70927838,0.10802922,0.03318114,0.038524155,0.63852286,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
71031802,0.10397191,0.018637031,0.040626086,0.6377472,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
71131781,0.09868747,0.018786293,0.04255107,0.63915676,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
71231760,0.08174633,0.023351658,0.04362814,0.6387661,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
71335763,0.09171625,0.025236808,0.044358935,0.63901734,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
71435772,0.08631855,0.030110903,0.04446604,0.6405966,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
71537369,0.0705185,0.04243003,0.042807788,0.640586,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
71641376,0.08285801,0.04132286,0.039524686,0.6416136,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
71741405,0.08525677,0.047072947,0.03731862,0.6421934,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
71841461,0.077665634,0.051715735,0.033793963,0.64284337,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
71945434,0.09402667,0.061886966,0.030272333,0.64547557,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
72045498,0.09365173,0.058876175,0.026932484,0.6450084,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
72145385,0.09580179,0.044670086,0.02433058,0.6452798,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
72249339,0.0898028,0.029535227,0.023390576,0.6455078,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
72349367,0.082965836,0.033986755,0.023369921,0.6454261,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
72453381,0.090622276,0.02037363,0.02430405,0.64497495,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
72554956,0.09331722,0.028129721,0.025189312,0.64344764,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
