timestamp,main_state,transition_reason,basestation,flight_number
58190303,7,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
58190303,7,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
58190303,7,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
58190303,7,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
58190303,7,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
58190303,7,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
58190303,7,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65697003,10,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65697003,10,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65697003,10,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65697003,10,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65697003,10,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65697003,10,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65697003,10,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65697003,10,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65697003,10,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65697003,10,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65697003,10,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65697003,10,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
75183468,4,12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
75183468,4,12,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76210575,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76210575,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76210575,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76210575,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76210575,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76210575,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76210575,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76210575,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76210575,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76210575,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76210575,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76210575,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76210575,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76210575,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76210575,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76210575,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76210575,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76210575,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76210575,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76210575,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
