timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d0,q_d1,q_d2,q_d3,thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps,basestation,flight_number
59470513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
59569654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
59670479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
59769604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
59870469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
59969768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60070658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60174196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60270623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60369761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60473605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60569614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60671498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60769604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60870505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
