timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy0,delta_xy1,delta_z,vx,vy,vz,z_deriv,delta_vxy0,delta_vxy1,delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid,limit_hagl,basestation,flight_number
59527276,13347301,29.3754284,-89.5490994,-0.7699651,0.6336445,0.57380825,0.002658458,0.0024949773,0.0,0.012097441,0.00229223,0.01859678,-0.0065752505,-0.025008326,-0.022564378,0.061152168,0.14021043,0.052934337,0.10286214,-1.5725805,3.5881357,0.1,-0.01859678,0.19186763,0.14723681,0.118056566,0.05322466,0.0,1,1,1,1,2,0,2,2,1,1,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
59627359,13347301,29.3754284,-89.5490994,-0.7709586,0.6349948,0.5731086,0.002658458,0.0024949773,0.0,0.011492921,0.004032134,0.01735978,-0.007315314,-0.025008326,-0.022564378,0.061152168,-0.15616639,0.25920632,-0.020316055,-1.5722295,3.5881357,0.1,-0.01735978,0.19225824,0.1471945,0.11824749,0.05320803,0.0,1,1,1,1,2,0,2,2,1,1,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
59727263,13347301,29.3754284,-89.5490994,-0.77156436,0.63647604,0.57201976,0.002658458,0.0024949773,0.0,0.012814183,0.0024109066,0.01608863,-0.008672359,-0.025008326,-0.022564378,0.061152168,0.23513798,-0.18454947,0.040926907,-1.5723909,3.5881357,0.1,-0.01608863,0.19192384,0.14703526,0.118092656,0.05318481,0.0,1,1,1,1,2,0,2,2,1,1,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
59831470,13347301,29.3754284,-89.5490994,-0.7719137,0.6377555,0.5700907,0.002658458,0.0024949773,0.0,0.011557062,0.003791031,0.014273312,-0.011101718,-0.025008326,-0.022564378,0.061152168,0.040576592,0.06637218,0.028169088,-1.5727751,3.5881357,0.1,-0.014273312,0.19231369,0.14699535,0.118290305,0.05317191,0.0,1,1,1,1,2,0,2,2,1,1,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
59931437,13347301,29.3754284,-89.5490994,-0.772199,0.638829,0.56890535,0.002658458,0.0024949773,0.0,0.014144521,0.006672484,0.014887737,-0.010156124,-0.025008326,-0.022564378,0.061152168,0.1751039,0.8543566,-0.06464261,-1.5725913,3.5881357,0.1,-0.014887737,0.19261906,0.1469548,0.118421115,0.05315973,0.0,1,1,1,1,2,0,2,2,1,1,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60035598,13347301,29.3754284,-89.5490994,-0.7726292,0.6399397,0.5679456,0.002658458,0.0024949773,0.0,0.011751899,0.0037684166,0.013764683,-0.010710283,-0.025008326,-0.022564378,0.061152168,-0.14492649,-0.00020657999,0.033222076,-1.5726757,3.5881357,0.1,-0.013764683,0.19301149,0.14691456,0.118615,0.05314881,0.0,1,1,1,1,2,0,2,2,1,1,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60136840,13347301,29.3754284,-89.5490994,-0.773441,0.64127964,0.56659395,0.002658458,0.0024949773,0.0,0.013125163,0.0049441033,0.012967207,-0.011553171,-0.025008326,-0.022564378,0.061152168,0.36905575,-0.114040695,0.021289969,-1.5728317,3.5881357,0.1,-0.012967207,0.19267209,0.14715524,0.11846291,0.053164154,0.0,1,1,1,1,2,0,2,2,1,1,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60237032,13347301,29.3754284,-89.5490994,-0.77408814,0.64266646,0.56454706,0.002658458,0.0024949773,0.0,0.01197865,0.004104147,0.010916864,-0.014044245,-0.025008326,-0.022564378,0.061152168,-0.16730401,0.08057266,-0.1855882,-1.5721456,3.5881357,0.1,-0.010916864,0.19306208,0.14711764,0.11864686,0.053155445,0.0,1,1,1,1,2,0,2,2,1,1,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60336909,13347301,29.3754284,-89.5490994,-0.7743398,0.6437347,0.5632664,0.002658458,0.0024949773,0.0,0.01101304,0.00548566,0.009964658,-0.01463051,-0.025008326,-0.022564378,0.061152168,-0.0719589,0.14576158,-0.11650094,-1.5726964,3.5881357,0.1,-0.009964658,0.19284764,0.14700116,0.11855305,0.053166043,0.0,1,1,1,1,2,0,2,2,1,1,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60440899,13347301,29.3754284,-89.5490994,-0.7749136,0.64513475,0.56339085,0.002658458,0.0024949773,0.0,0.011892837,0.00440243,0.011497523,-0.011301019,-0.025008326,-0.022564378,0.061152168,0.019051794,-0.16230181,0.14148077,-1.5722382,3.5881357,0.10426921,-0.011497523,0.19328158,0.14696404,0.11877967,0.053155236,0.0,1,1,1,1,2,0,2,2,1,1,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60541010,13347301,29.3754284,-89.5490994,-0.7754138,0.6465218,0.5656233,0.002658458,0.0024949773,0.0,0.011682247,0.0038208168,0.011535817,-0.0077146557,-0.025008326,-0.022564378,0.061152168,-0.04102913,0.06624728,0.02300174,-1.5720624,3.5881357,0.107722044,-0.011535817,0.19368136,0.14692976,0.11897321,0.05314633,0.0,1,1,1,1,2,0,2,2,1,1,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60640858,13347301,29.3754284,-89.5490994,-0.77625936,0.6476947,0.5689262,0.002658458,0.0024949773,0.0,0.012449522,0.0042155967,0.013531841,-0.001822863,-0.025008326,-0.022564378,0.061152168,0.24213052,0.2730818,0.14018448,-1.5718024,3.5881357,0.10872364,-0.013531841,0.19334604,0.14678094,0.11881392,0.053129986,0.0,1,1,1,1,2,0,2,2,1,1,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60745016,13347301,29.3754284,-89.5490994,-0.7770361,0.6488071,0.57151264,0.002658458,0.0024949773,0.0,0.013064599,0.0060681975,0.013098714,0.00052615127,-0.025008326,-0.022564378,0.061152168,0.181945,0.26148456,0.12543939,-1.5724341,3.5881357,0.10788059,-0.013098714,0.19374453,0.14675093,0.119006775,0.05312375,0.0,1,1,1,1,2,0,2,2,1,1,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60844926,13347301,29.3754284,-89.5490994,-0.7774822,0.6501941,0.57594675,0.002658458,0.0024949773,0.0,0.01110051,0.006150329,0.014096132,0.0057112034,-0.025008326,-0.022564378,0.061152168,-0.18698862,0.01746582,-0.06024729,-1.5720845,3.5881357,0.10928953,-0.014096132,0.19410947,0.14672327,0.11917573,0.053118236,0.0,1,1,1,1,2,0,2,2,1,1,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60948940,13347301,29.3754284,-89.5490994,-0.7778485,0.6517086,0.58198655,0.002658458,0.0024949773,0.0,0.012383712,0.006175438,0.015795665,0.012453569,-0.025008326,-0.022564378,0.061152168,-0.09251252,0.0032965012,-0.12193758,-1.5721709,3.5881357,0.11286652,-0.015795665,0.1944475,0.1466983,0.11932892,0.05311432,0.0,1,1,1,1,2,0,2,2,1,1,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61052898,13347301,29.3754284,-89.5490994,-0.7781015,0.6532832,0.59008497,0.002658458,0.0024949773,0.0,0.013275208,0.007218085,0.018478641,0.02148879,-0.025008326,-0.022564378,0.061152168,0.3149683,0.034624375,0.28087658,-1.5721467,3.5881357,0.116903484,-0.018478641,0.19481526,0.14667866,0.11949144,0.05311234,0.0,1,1,1,1,2,0,2,2,1,1,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61154647,13347301,29.3754284,-89.5490994,-0.7783303,0.6548118,0.59982795,0.002658458,0.0024949773,0.0,0.013909935,0.008471514,0.019490803,0.02970408,-0.025008326,-0.022564378,0.061152168,-0.008762332,0.08538484,0.22814643,-1.5719919,3.5881357,0.118704915,-0.019490803,0.1945003,0.14654039,0.11934928,0.05310019,0.0,1,1,1,1,2,0,2,2,1,1,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61254557,13347301,29.3754284,-89.5490994,-0.7789691,0.6567069,0.60925794,0.002658458,0.0024949773,0.0,0.013965911,0.008088673,0.02091865,0.0369998,-0.025008326,-0.022564378,0.061152168,0.29869533,-0.16604626,0.24696825,-1.5722435,3.5881357,0.11510295,-0.02091865,0.19486427,0.14652225,0.11951698,0.053098205,0.0,1,1,1,1,2,0,2,2,1,1,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
