timestamp,lat,lon,alt,delta_alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning,basestation,flight_number
61866539,29.375421366877056,-89.54909247235591,2.9040499,-0.0,0.013103774,0.015594971,0.03357496,-1.5723721,0.55793506,1.0727661,2.7914157,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61970609,29.375421359884445,-89.54909244533272,2.891274,-0.0,0.013119419,0.015628349,0.03693421,-1.5723443,0.55802935,1.072763,2.7818897,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62070514,29.37542135185621,-89.54909242141531,2.8800013,-0.0,0.012346781,0.01603764,0.03742112,-1.5723021,0.5581565,1.0727599,2.7753336,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62172192,29.37542134455324,-89.54909239872447,2.8686242,-0.0,0.0119266985,0.015866311,0.039771263,-1.5721964,0.5580215,1.0727941,2.7596774,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62272126,29.375421334855243,-89.5490923756418,2.8567235,-0.0,0.011394469,0.016880874,0.04279591,-1.5721924,0.55816936,1.0727905,2.7549577,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62376076,29.37542133083872,-89.54909235012198,2.8472319,-0.0,0.011262496,0.017132027,0.041723885,-1.5723599,0.55835533,1.0727923,2.751456,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62476066,29.375421325452606,-89.54909232701779,2.8395994,-0.0,0.010795427,0.016734537,0.042691648,-1.5723779,0.55822414,1.072772,2.7448072,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62580168,29.375421321357816,-89.54909230270056,2.831761,-0.0,0.010686742,0.017841017,0.043147698,-1.5723519,0.55835694,1.072768,2.739104,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62680189,29.375421315027747,-89.54909227963385,2.8257773,-0.0,0.008909202,0.01819771,0.043245543,-1.5723741,0.55847985,1.0727644,2.7377727,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62780106,29.37542130640184,-89.54909225639679,2.8196678,-0.0,0.008553961,0.018718854,0.043521762,-1.5724692,0.5583586,1.0727983,2.72848,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62884178,29.37542129740069,-89.54909223086898,2.812964,-0.0,0.008630476,0.018793106,0.043748327,-1.5724076,0.5585019,1.0727946,2.723294,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62984151,29.37542128911516,-89.54909220842418,2.808228,-0.0,0.007974634,0.019482436,0.04251061,-1.5724422,0.5586142,1.0727906,2.7224631,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
63084038,29.37542128360148,-89.5490921833768,2.8047507,-0.0,0.008280343,0.019389955,0.040911086,-1.5724473,0.5584812,1.0728241,2.721157,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
63188874,29.37542127933033,-89.54909215803168,2.8018382,-0.0,0.0077003418,0.019659879,0.039407473,-1.5724537,0.55863625,1.0728196,2.717258,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
63288863,29.37542127827648,-89.54909213530455,2.7983475,-0.0,0.008331387,0.020432184,0.038943376,-1.5724804,0.5587834,1.0728179,2.7108345,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
63389017,29.37542127370408,-89.54909211376277,2.7964826,-0.0,0.0083493255,0.019795962,0.03744733,-1.5724956,0.5586575,1.0727973,2.7112856,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
63492987,29.37542127162747,-89.54909209392181,2.7956893,-0.0,0.009272803,0.020352695,0.034478996,-1.5723765,0.5587989,1.0727934,2.7115886,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
63592903,29.37542126623654,-89.5490920722078,2.794854,-0.0,0.008152046,0.01978303,0.03249981,-1.5723715,0.55892926,1.0727364,2.7108278,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
63692855,29.375421257439623,-89.5490920474649,2.7942452,-0.0,0.008538522,0.02193902,0.030939003,-1.5722841,0.55879104,1.0727711,2.7094617,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
63796835,29.375421248952005,-89.5490920213681,2.7925181,-0.0,0.008955308,0.020901017,0.029080944,-1.5722407,0.555855,1.0727684,2.7020688,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
63896833,29.375421235121166,-89.5490919969912,2.788913,-0.0,0.008203834,0.022450916,0.0277463,-1.5721171,0.5590646,1.0727128,2.6944764,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
64001061,29.375421222606835,-89.549091972407,2.7854462,-0.0,0.006523746,0.021191815,0.025563441,-1.5722148,0.5560663,1.0727112,2.6921403,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
64105039,29.375421213560127,-89.54909194733192,2.7813053,-0.0,0.0089555215,0.022134244,0.02445724,-1.5722331,0.55618656,1.0727099,2.6816266,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
64205012,29.375421202915497,-89.54909192275079,2.776544,-0.0,0.006133629,0.022663072,0.024989553,-1.5721587,0.5560612,1.0726924,2.6789424,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
64308910,29.3754211868124,-89.54909189794945,2.7710288,-0.0,0.0059102615,0.023229139,0.022556305,-1.5722767,0.556182,1.0726913,2.67105,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
64408860,29.3754211694748,-89.54909187783107,2.765779,-0.0,0.0055018878,0.022357374,0.021802468,-1.5723146,0.5562939,1.0726904,2.6662815,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
64510466,29.37542115369064,-89.54909185955746,2.7608166,-0.0,0.0035720156,0.02260459,0.022603687,-1.5722784,0.55617785,1.0727262,2.6620474,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
