timestamp,timestamp_sample,control0,control1,control2,control3,control4,control5,control6,control7,basestation,flight_number
59527041,59526784,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
59627034,59626790,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
59731119,59730837,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
59834950,59834784,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
59934984,59934784,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60039013,60038794,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60140588,60140390,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60244648,60244384,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60344649,60344389,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60444863,60444431,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60548634,60548392,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60648580,60648386,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60752580,60752383,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60852623,60852387,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60952586,60952384,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61056601,61056407,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61158192,61157988,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61258217,61257990,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61358243,61357984,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61462212,61461993,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61562181,61561984,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61666154,61665984,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61766177,61765984,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61866208,61865984,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61970253,61969984,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62070269,62069983,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62171805,62171584,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62271824,62271584,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62375825,62375629,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62475798,62475583,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62579762,62579584,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62679787,62679584,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62779853,62779621,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62883804,62883584,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62983785,62983588,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
63083782,63083584,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
