timestamp,noutputs,output0,output1,output2,output3,output4,output5,output6,output7,output8,output9,output10,output11,output12,output13,output14,output15,basestation,flight_number
59509351,8,1075.0,1075.0,1075.0,1075.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
59625053,8,1075.0,1075.0,1075.0,1075.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
59717086,8,1075.0,1075.0,1075.0,1075.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
59825306,8,1179.0,1179.0,1179.0,1179.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
59929462,8,1179.0,1179.0,1179.0,1179.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60021129,8,1179.0,1179.0,1179.0,1179.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60122951,8,1179.0,1179.0,1179.0,1179.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60230985,8,1179.0,1179.0,1179.0,1179.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60334722,8,1179.0,1179.0,1179.0,1179.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60426950,8,1179.0,1179.0,1179.0,1179.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60534664,8,1179.0,1179.0,1179.0,1179.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60642663,8,1179.0,1179.0,1179.0,1179.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60738618,8,1179.0,1179.0,1179.0,1179.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60850706,8,1179.0,1179.0,1179.0,1179.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60942909,8,1179.0,1179.0,1179.0,1179.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61034675,8,1179.0,1179.0,1179.0,1179.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61144655,8,1179.0,1179.0,1179.0,1179.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61256273,8,1179.0,1179.0,1179.0,1179.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61340298,8,1179.0,1179.0,1179.0,1179.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61456453,8,1179.0,1179.0,1179.0,1179.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61548534,8,1179.0,1179.0,1179.0,1179.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61656548,8,1179.0,1179.0,1179.0,1179.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61760532,8,1179.0,1179.0,1179.0,1179.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61864530,8,1179.0,1179.0,1179.0,1179.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61952582,8,1179.0,1179.0,1179.0,1179.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62056527,8,1179.0,1179.0,1179.0,1179.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62161898,8,1179.0,1179.0,1179.0,1179.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62274126,8,1179.0,1179.0,1179.0,1179.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62358008,8,1179.0,1179.0,1179.0,1179.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62465919,8,1179.0,1179.0,1179.0,1179.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62578131,8,1179.0,1179.0,1179.0,1179.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
